Complexity,Loss,Equation
1,0.7063978,"0.03391847"
3,0.27083388,"x0 * 0.22532186"
4,0.17929609,"cos(x0 * 0.5764349)"
5,0.016593859,"(x0 - -1.7805406) * 0.34573317"
7,0.016593846,"((-0.45742533 - x0) * -1.3457242) - x0"
8,0.0063854246,"cube((x0 * 0.07418463) - 1.1122093) + 2.0449865"
10,0.0036376447,"((x0 + 1.3945531) - sin(x0 / 2.350718)) * 0.44940537"
