Complexity,Loss,Equation
1,0.3859546,"0.16018888"
3,0.23741615,"x0 * 0.22993112"
4,0.17332576,"exp(x0) * 0.12303123"
5,0.14785255,"x0 / (4.196378 - x0)"
6,0.066292375,"cube((x0 * 0.37120497) + 0.24847192)"
7,0.046459895,"cube(log((x0 / 2.3343399) + 1.747745))"
8,0.04017506,"cube(log(square((x0 * 0.20032881) + 1.244127)))"
9,0.020501338,"square(x0) * ((cube(x0) * 0.0076366267) + 0.14570163)"
10,0.008840393,"(x0 * (exp(-1.6765205 - x0) + x0)) * 0.2399077"
12,0.0055909227,"((x0 * (exp(-1.7325233 - x0) + x0)) * 0.26481605) + -0.09160227"
