,0,1,2
size,0.12433519680398497,3.7288805847309385,
min,3.451339454928709,0.22163532274485298,-3.1584098326928975
ch,0.11729808608213986,1.2470039481826674,
intercept,1.5548459948536584,,
a,1.0030800476320227,,
b,-0.7951951906613224,,
