Complexity,Loss,Equation
1,0.78694284,"0.029297633"
3,0.29465985,"x0 * 0.2394508"
4,0.20560676,"cos(x0 * 0.58010536)"
5,0.016294373,"(x0 + 1.7627531) * 0.36543605"
7,0.016294355,"((x0 + 0.47174856) * 1.3654327) - x0"
9,0.0071340366,"(x0 * ((x0 * -0.018543245) + 0.3030336)) + 0.6986579"
10,0.004358194,"((x0 * 0.36448956) + (sin(x0) * -0.1528794)) + 0.6736563"
