Complexity,Loss,Equation
1,0.78694284,"0.029297622"
3,0.29465985,"x0 * 0.23941006"
4,0.20560676,"cos(x0 * 0.58010834)"
5,0.016294371,"(x0 * 0.3654328) + 0.6441415"
7,0.016294355,"((x0 + 0.47174856) * 1.3654327) - x0"
8,0.0067935274,"cube((x0 * 0.069457576) + -1.1999124) + 2.421751"
9,0.006308305,"((x0 * 6.0904193) / (x0 + 20.410583)) - -0.68901765"
10,0.0040606344,"((sin(x0 * -0.4096675) + x0) * 0.47646153) + 0.65476936"
11,0.00041669258,"(exp(exp(x0) * -1.2149664) + 0.29487064) + (x0 * 0.5203042)"
12,0.0003176401,"sin(exp(exp(x0) * -1.3793682)) + ((x0 * 0.49665284) + 0.34425)"
14,0.00022300884,"sin(exp(exp(x0) * -1.4557276) * 1.1052747) + ((x0 * 0.5054993) + 0.32727796)"
15,0.00012678913,"(x0 * 0.4945583) + (sin(sin(exp((exp(x0) * -1.7270252) + 0.23267065))) + 0.35055196)"
